regija,id,ime_oglasa,vrsta_nepremicnine,tip_nepremicnine,zemljisce,velikost,cena,agencija
dolenjska ,6168503,HRIB PRI OREHKU,Hiša,Samostojna,,131.0,43000.0,"Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o."
dolenjska ,6291128,HRIB PRI OREHKU,Posest,Zazidljiva,,898.0,25.0,Inteleks d.o.o.
dolenjska ,6294467,HRIB PRI OREHKU,Posest,Zazidljiva,,1002.0,23700.0,Zasebna ponudba
dolenjska ,5736807,HRUŠICA,Posest,Zazidljiva,,3717.0,30000.0,Kapitelj nepremičnine d.o.o.
dolenjska ,6355410,HRUŠICA,Posest,Kmetija,,26995.0,260000.0,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. "
dolenjska ,5894017,"HRUŠICA, PRI NM",Vikend,Zidan,,19.0,11000.0,Nepremičnine Lara d.o.o.
dolenjska ,6306436,IGLENIK,Posest,Kmetijsko zemljišče,,5365.0,3500.0,"Nepremičnine in svetovanje Juršič, Blaž Juršič s.p."
dolenjska ,6169349,IGLENIK,Posest,Kmetijsko zemljišče,,20473.0,15500.0,"Nepremičnine in svetovanje Juršič, Blaž Juršič s.p."
dolenjska ,6259483,"JABLAN, ŠRANGA",Posest,Zazidljiva,,587.0,25000.0,Kapitelj nepremičnine d.o.o.
dolenjska ,6139252,JAGODNIK,Vikend,Bivalen,,81.0,58000.0,Prenova Marko Bele s.p. Novo mesto
dolenjska ,6293884,JAGODNIK,Posest,Zazidljiva,,4244.0,19000.0,Kapitelj nepremičnine d.o.o.
dolenjska ,6250985,JAMA,Posest,Zazidljiva,,6997.0,39000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6363602,JAVOROVICA,Hiša,Samostojna,,100.0,55000.0,Zasebna ponudba
dolenjska ,6312360,JAVOROVICA,Posest,Kmetijsko zemljišče,,8700.0,10000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6356535,JELENDOL,Hiša,Samostojna,,98.0,48000.0,Nepis d.o.o.
dolenjska ,6351692,"KANIŽARICA, ČRNOMELJ, IND. CONA TRIS",Posest,Za investicijo,,9587.0,135000.0,Zasebna ponudba
dolenjska ,6357062,"KLEČET, V NASELJU, NADOMESTNA GRADNJA",Hiša,Samostojna,,100.0,153000.0,Maridom nepremičnine d.o.o.
dolenjska ,6312667,KLENOVIK,Vikend,Zidan,,41.0,29900.0,Zasebna ponudba
dolenjska ,6031801,KLENOVIK,Vikend,Bivalen,,45.0,25000.0,Zasebna ponudba
dolenjska ,6195425,KLENOVIK,Vikend,Bivalen,,51.0,29000.0,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. "
dolenjska ,6274930,KLENOVIK,Posest,Zazidljiva,,1479.0,6300.0,Zasebna ponudba
dolenjska ,6321735,KNEŽINA,Posest,Kmetijsko zemljišče,,43000.0,20000.0,Zasebna ponudba
dolenjska ,6037149,KNEŽINA,Posest,Kmetija,,131100.0,79000.0,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. "
dolenjska ,6187635,"KNEŽINA, 7",Hiša,Samostojna,,100.0,40000.0,Zasebna ponudba
dolenjska ,6366533,KOČARJI,Hiša,Dvojček,,149.0,160000.0,MEZANIN PRO nepremičnine d.o.o.
dolenjska ,6362171,KOČEVJE,Stanovanje,dvosobno,,46.8,45000.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6368032,KOČEVJE,Stanovanje,dvosobno,,56.0,55000.0,Zasebna ponudba
dolenjska ,6316683,KOČEVJE,Stanovanje,dvosobno,,62.0,50000.0,Zasebna ponudba
dolenjska ,6360988,KOČEVJE,Stanovanje,dvoinpolsobno,,63.6,72000.0,Zasebna ponudba
dolenjska ,6081792,KOČEVJE,Stanovanje,trisobno,,69.5,26000.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6324729,KOČEVJE,Stanovanje,trisobno,,74.7,75000.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6358868,KOČEVJE,Posest,Zazidljiva,,84.0,33333.0,Studio da Vinci d.o.o.
dolenjska ,6160802,KOČEVJE,Stanovanje,štirisobno,,88.55,75000.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6336370,KOČEVJE,Hiša,Samostojna,,227.0,105000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6354842,KOČEVJE,Hiša,Samostojna,,240.0,180000.0,Zasebna ponudba
dolenjska ,5677623,KOČEVJE,Hiša,Dvojček,,251.0,155000.0,Elite nepremičnine d.o.o.
dolenjska ,6239248,KOČEVJE,Hiša,Samostojna,,264.4,250000.0,Senon d.o.o.
dolenjska ,6306760,KOČEVJE,Hiša,Samostojna,,275.0,219000.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6268194,KOČEVJE,Hiša,Samostojna,,365.7,240000.0,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. "
dolenjska ,6296726,KOČEVJE,Posest,Zazidljiva,,1500.0,50.0,Zasebna ponudba
dolenjska ,6364724,KOČEVJE,Posest,Zazidljiva,,2286.0,125000.0,"Aeon nepremičnine, d.o.o."
dolenjska ,6274897,KOČEVJE,Posest,Zazidljiva,,6000.0,20.0,Nepremičnine Plus d.o.o.
dolenjska ,6268197,KOČEVJE,Posest,Drugo,,6703.0,240000.0,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. "
dolenjska ,5916237,KOČEVJE,Posest,Zazidljiva,,25065.0,850000.0,MKA nepremičnine d.o.o.
dolenjska ,6058216,"KOČEVJE, CENTER",Stanovanje,trisobno,,70.0,68000.0,Zasebna ponudba
dolenjska ,6344259,"KOČEVJE, CESTA NA TRATO 13",Poslovni prostor,Neživilska trgovina,,219.0,105000.0,"Mercator, d.d., Sektor razvoj in dezinvestije"
dolenjska ,5444000,"KOČEVJE, INDUSTRIJSKA CONA",Posest,Zazidljiva,,5114.0,269000.0,"Mercator, d.d., Sektor razvoj in dezinvestije"
dolenjska ,6206170,"KOČEVJE, INDUSTRIJSKA CONA LIK",Posest,Zazidljiva,,2000.0,60000.0,Zasebna ponudba
dolenjska ,6345875,"KOČEVJE, KIDRIČEVA ULICA 5 IN 5A",Poslovni prostor,Neživilska trgovina,,713.1,414000.0,"Mercator, d.d., Sektor razvoj in dezinvestije"
dolenjska ,5729479,"KOČEVJE, KIDRIČEVA ULICA 6A",Poslovni prostor,Večji poslovni kompleks,,4306.0,1510000.0,"Mercator, d.d., Sektor razvoj in dezinvestije"
dolenjska ,5661901,"KOČEVJE, KOLODVORSKA ULICA 1",Poslovni prostor,Neživilska trgovina,,167.7,98000.0,"Mercator, d.d., Sektor razvoj in dezinvestije"
dolenjska ,6366922,"KOČEVJE, MAROF",Stanovanje,dvosobno,,63.0,42000.0,Zasebna ponudba
dolenjska ,6283596,"KOČEVJE, MESTNI LOG",Posest,Zazidljiva,,1046.0,32.0,Last in posest d.o.o.
dolenjska ,6079846,"KOČEVJE, OB JEZERU",Posest,Za investicijo,,91849.0,27.0,MKA nepremičnine d.o.o.
dolenjska ,6162702,"KOČEVJE, OB MAHOVNIŠKI CESTI",Stanovanje,dvosobno,,47.0,40000.0,Zasebna ponudba
dolenjska ,6187225,"KOČEVJE, OB RINŽI",Stanovanje,dvosobno,,69.5,127242.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6187234,"KOČEVJE, OB RINŽI",Stanovanje,dvosobno,,69.5,134042.5,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6187362,"KOČEVJE, OB RINŽI",Stanovanje,dvosobno,,69.5,164242.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6187230,"KOČEVJE, OB RINŽI",Stanovanje,trisobno,,75.4,141490.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6187367,"KOČEVJE, OB RINŽI",Stanovanje,trisobno,,75.4,184090.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6187371,"KOČEVJE, OB RINŽI",Stanovanje,trisobno,,75.4,152090.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6178877,"KOČEVJE, PODJETNIŠKO NASELJE",Stanovanje,štirisobno,,196.8,220000.0,Zasebna ponudba
dolenjska ,6178879,"KOČEVJE, PODJETNIŠKO NASELJE",Poslovni prostor,Kombiniran prostor,,196.8,220000.0,Zasebna ponudba
dolenjska ,6341977,"KOČEVJE, POLEG TUŠ CENTRA",Posest,Zazidljiva,,2286.0,51.5,"QUDOS, center nepremičnin d.o.o."
dolenjska ,6354935,"KOČEVJE, PRI ČRNOMLJU",Stanovanje,dvosobno,,56.98,35000.0,Zasebna ponudba
dolenjska ,5546813,"KOČEVJE, PRI UNIONU",Hiša,Samostojna,,146.0,185000.0,Last in posest d.o.o.
dolenjska ,5598866,"KOČEVJE, PRI UNIONU",Hiša,Dvostanovanjska,,240.0,146000.0,Last in posest d.o.o.
dolenjska ,6280862,"KOČEVJE, ROŠKA CESTA",Stanovanje,štirisobno,,134.0,650.0,Last in posest d.o.o.
dolenjska ,6158039,"KOČEVJE, STARA CERKEV",Stanovanje,štirisobno,,95.9,59000.0,Last in posest d.o.o.
dolenjska ,6310879,"KOČEVJE, TESARSKA ULICA",Stanovanje,dvosobno,,62.12,55000.0,Last in posest d.o.o.
dolenjska ,6191876,"KOČEVJE, TOMŠIČEVA CESTA",Poslovni prostor,Večji poslovni kompleks,,120.0,105000.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6274054,"KOČEVJE, TRATA",Stanovanje,trisobno,,82.0,70000.0,Last in posest d.o.o.
dolenjska ,6332934,"KOČEVJE, TRATA",Hiša,Samostojna,,134.0,90000.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6240900,"KOČEVJE, TRATA",Hiša,Samostojna,,220.0,97000.0,Zasebna ponudba
dolenjska ,6360181,"KOČEVJE, TRATA",Posest,Zazidljiva,,844.0,24000.0,Last in posest d.o.o.
dolenjska ,6324932,"KOČEVJE, TRG ZBORA ODPOSLANCEV",Stanovanje,trisobno,,61.3,74000.0,Last in posest d.o.o.
dolenjska ,6345881,"KOČEVJE, TRG ZBORA ODPOSLANCEV 70",Poslovni prostor,Neživilska trgovina,,268.2,95000.0,"Mercator, d.d., Sektor razvoj in dezinvestije"
dolenjska ,6368133,"KOČEVJE, TURIJAŠKO NASELJE",Stanovanje,dvosobno,,60.0,67000.0,Zasebna ponudba
dolenjska ,6315447,"KOČEVJE, TURJAŠKO NASELJE",Stanovanje,enosobno,,40.6,46000.0,Last in posest d.o.o.
dolenjska ,6368561,"KOČEVJE, TURJAŠKO NASELJE",Stanovanje,dvosobno,,62.05,57000.0,Zasebna ponudba
dolenjska ,6314733,"KOČEVJE, TURJAŠKO NASELJE",Stanovanje,trisobno,,74.0,85000.0,Last in posest d.o.o.
dolenjska ,6241225,"KOČEVJE, TURJAŠKO NASELJE",Stanovanje,trisobno,,90.0,95000.0,Zasebna ponudba
dolenjska ,6304720,"KOČEVJE, ŽELJNE",Hiša,Samostojna,,96.0,40000.0,Last in posest d.o.o.
dolenjska ,6283754,KOČEVSKA REKA,Stanovanje,dvosobno,,46.4,29000.0,Last in posest d.o.o.
dolenjska ,6356392,KOČEVSKA REKA,Hiša,Samostojna,,130.0,170000.0,ABC nepremičnine d.o.o.
dolenjska ,6059635,KOČEVSKA REKA,Hiša,Samostojna,,300.0,275000.0,Adria nepremičnine d.o.o.
dolenjska ,6369778,KOČEVSKA REKA,Posest,Kmetijsko zemljišče,,23209.0,18000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6283523,"KOČEVSKA REKA, GORNJA BRIGA",Hiša,Samostojna,,152.0,120000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6286998,"KOČEVSKA REKA, KOČEVJE",Stanovanje,dvosobno,,47.5,25000.0,Zasebna ponudba
dolenjska ,6129969,KOMARNA VAS,Hiša,Samostojna,,133.0,150000.0,Novi list d.o.o.
dolenjska ,6352183,KOPRIVNIK,Posest,Zazidljiva,,1409.0,11900.0,Pogodba nepremičnine in pravno svetovanje d.o.o.
dolenjska ,6353808,KORENITKA,Posest,Zazidljiva,,1791.0,39000.0,Zasebna ponudba
dolenjska ,5861531,KORENITKA,Posest,Zazidljiva,,3892.0,48000.0,Zasebna ponudba
dolenjska ,6369628,KOROŠKA VAS,Vikend,Bivalen,,81.6,85000.0,Prenova Marko Bele s.p. Novo mesto
dolenjska ,6297934,KOROŠKA VAS,Hiša,Samostojna,,120.0,55000.0,NNRN nepremičnine d.o.o. Novo mesto
